date,gender,age,대출총괄_mo,대출총괄_pc,주택관련대출_mo,주택관련대출_pc,자동차대출_mo,자동차대출_pc,대환대출_mo,대환대출_pc,핀다대출외서비스_mo,핀다대출외서비스_pc
2022-02-04,f,2,2.63157,1.13636,1.02339,5.68181,100.0,10.22727,0.0,0.0,1.75438,5.68181
2022-02-04,m,2,7.73195,5.0,6.70103,0.0,12.88659,15.0,0.0,0.0,15.97938,15.0
2022-02-04,f,3,16.17541,6.60792,10.0647,9.2511,100.0,15.85903,0.79079,0.44052,11.93386,14.97797
2022-02-04,m,3,27.10622,24.75247,11.35531,27.72277,10.07326,22.77227,2.47252,1.98019,27.10622,60.39603
2022-02-04,f,4,43.39781,26.14107,59.96635,56.01659,34.98738,13.69294,4.37342,0.82987,19.84861,28.21576
2022-02-04,m,4,34.09742,28.24207,45.55873,56.48414,13.18051,14.40922,8.38108,6.05187,27.00573,51.00864
2022-02-04,f,5,23.88143,22.30392,64.65324,50.98039,7.71812,7.59803,4.30648,2.45098,14.31767,21.81372
2022-02-04,m,5,19.71982,14.63157,51.76005,51.26315,5.56752,4.8421,4.77729,2.21052,17.81609,23.36842
2022-02-04,f,6,19.69696,14.48763,62.71645,51.23674,5.73593,6.00706,3.62554,2.82685,11.58008,21.55477
2022-02-04,m,6,19.62552,12.82051,48.19694,53.9627,4.78502,2.91375,2.77392,2.44755,13.90429,23.31002
2022-02-04,f,7,21.7511,11.8421,56.0022,44.73684,7.98458,3.07017,2.31277,5.70175,9.96696,15.35087
2022-02-04,m,7,21.24311,15.59322,43.62706,44.91525,6.68764,3.38983,3.14712,2.71186,12.31313,21.18644
2022-02-04,f,8,21.2556,16.12903,53.36322,59.67741,6.99551,8.87096,2.60089,4.03225,9.32735,20.16129
2022-02-04,m,8,21.71156,10.2649,48.57369,53.31125,6.89381,5.29801,3.88272,2.649,15.92709,28.80794
2022-02-04,f,9,20.4244,23.75,44.29708,48.75,7.29442,8.75,0.79575,2.5,11.53846,21.25
2022-02-04,m,9,26.94063,23.56321,45.6621,49.42528,10.19786,12.64367,3.04414,1.14942,20.24353,30.45977
2022-02-04,f,10,20.68965,21.62162,53.7931,24.32432,10.0,8.1081,5.51724,0.0,10.68965,27.02702
2022-02-04,m,10,19.45392,27.27272,40.95563,51.94805,9.89761,10.38961,2.73037,1.2987,25.59726,40.25974
2022-02-04,f,11,16.8639,17.94871,30.47337,61.53846,11.83431,7.6923,2.66272,2.5641,11.53846,15.38461
